City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Trairi,BR,-3.2778,-39.2689,78.26,80,21,9.26,few clouds
221,Esfarayen,IR,37.0765,57.5101,50.0,40,90,4.61,overcast clouds
222,Carmarthen,GB,51.8555,-4.3054,41.0,93,75,5.75,light rain
223,Xinyu,CN,27.8043,114.9334,59.4,71,81,1.74,broken clouds
224,Yatou,CN,37.15,122.3833,49.96,48,0,9.13,clear sky
225,Abbeville,FR,50.1,1.8333,44.01,72,100,4.63,overcast clouds
226,Mayo,US,38.8876,-76.5119,42.8,39,1,8.05,clear sky
227,Saint George,US,37.1041,-113.5841,52.0,30,20,12.66,few clouds
228,Deputatskiy,RU,69.3,139.9,-22.65,89,100,3.18,overcast clouds
229,Madingou,CG,-4.1536,13.55,74.48,91,100,2.06,overcast clouds
230,Airai,TL,-8.9266,125.4092,69.64,88,100,6.02,overcast clouds
231,Khatanga,RU,71.9667,102.5,-34.28,79,4,7.09,clear sky
232,Tezu,IN,27.9167,96.1667,74.52,19,0,1.3,clear sky
233,Namatanai,PG,-3.6667,152.4333,81.93,72,93,1.83,overcast clouds
234,Korhogo,CI,9.45,-5.6333,76.33,30,52,5.26,broken clouds
235,Starosubkhangulovo,RU,53.1031,57.4423,34.95,91,100,7.11,light snow
236,Isiro,CD,2.7739,27.616,63.75,97,96,0.45,overcast clouds
237,Vedea,RO,43.7833,25.7833,41.0,89,47,3.09,scattered clouds
238,Puerto Escondido,MX,15.85,-97.0667,80.6,78,75,6.91,broken clouds
239,Vanderhoof,CA,54.0166,-124.0198,22.8,97,100,6.35,overcast clouds
240,Coquimbo,CL,-29.9533,-71.3436,60.8,82,90,6.91,overcast clouds
241,Orlik,RU,52.5178,99.825,-4.92,80,95,2.59,overcast clouds
242,Broome,US,42.2506,-75.833,28.4,46,75,18.41,broken clouds
243,Port Lincoln,AU,-34.7333,135.8667,67.17,66,99,15.64,overcast clouds
244,Omboue,GA,-1.5746,9.2618,77.04,90,57,4.59,light rain
245,Bilibino,RU,68.0546,166.4372,-5.93,78,100,3.6,overcast clouds
246,Ocos,GT,14.5094,-92.1933,75.2,83,1,6.02,clear sky
247,Marawi,PH,7.9986,124.2928,82.0,76,32,5.99,scattered clouds
248,Noyabrsk,RU,63.1994,75.4507,7.84,95,100,9.66,light snow
249,Mehamn,NO,71.0357,27.8492,25.88,93,99,18.34,light snow
250,Iqaluit,CA,63.7506,-68.5145,21.2,86,75,18.41,snow
251,Buala,SB,-8.145,159.5921,85.64,70,19,9.93,light rain
252,Vostok,RU,46.4856,135.8833,7.81,92,100,5.88,overcast clouds
253,Chara,RU,56.9064,118.2631,-5.46,76,98,1.54,overcast clouds
254,Port Augusta,AU,-32.5,137.7667,73.4,53,90,12.66,overcast clouds
